Description Adipose_Subcutaneous Adipose_Visceral_Omentum Adrenal_Gland Artery_Aorta Artery_Coronary Artery_Tibial Bladder Brain_Amygdala Brain_Anterior_cingulate_cortex_BA24 Brain_Caudate_basal_ganglia Brain_Cerebellar_Hemisphere Brain_Cerebellum Brain_Cortex Brain_Frontal_Cortex_BA9 Brain_Hippocampus Brain_Hypothalamus Brain_Nucleus_accumbens_basal_ganglia Brain_Putamen_basal_ganglia Brain_Spinal_cord_cervical_c-1 Brain_Substantia_nigra Breast_Mammary_Tissue Cells_Cultured_fibroblasts Cells_EBV-transformed_lymphocytes Cervix_Ectocervix Cervix_Endocervix Colon_Sigmoid Colon_Transverse Colon_Transverse_Mixed_Cell Colon_Transverse_Mucosa Colon_Transverse_Muscularis Esophagus_Gastroesophageal_Junction Esophagus_Mucosa Esophagus_Muscularis Fallopian_Tube Heart_Atrial_Appendage Heart_Left_Ventricle Kidney_Cortex Kidney_Medulla Liver Liver_Hepatocyte Liver_Mixed_Cell Liver_Portal_Tract Lung Minor_Salivary_Gland Muscle_Skeletal Nerve_Tibial Ovary Pancreas Pancreas_Acini Pancreas_Islets Pancreas_Mixed_Cell Pituitary Prostate Skin_Not_Sun_Exposed_Suprapubic Skin_Sun_Exposed_Lower_leg Small_Intestine_Terminal_Ileum Small_Intestine_Terminal_Ileum_Lymphode_Aggregate Small_Intestine_Terminal_Ileum_Mixed_Cell Spleen Stomach Stomach_Mixed_Cell Stomach_Mucosa Stomach_Muscularis Testis Thyroid Uterus Vagina Whole_Blood 
ENSG00000272512 5.1737 3.88317 0.636551 8.75322 8.7145 18.7027 7.91038 2.2912 2.86982 4.13234 1.30403 2.28279 4.16762 2.83221 2.20847 2.79647 3.71006 3.86128 1.37267 2.81024 4.78605 0.058812 0.324122 5.78134 6.40689 2.70997 2.35624 2.94802 2.75761 3.53565 2.34389 2.53281 1.77664 6.90055 4.32218 4.52248 1.61908 6.28144 0.716723 0.242216 0.232763 14.2553 4.09576 2.59192 1.56802 6.17737 1.95401 2.6599 5.30803 1.16256 4.12724 6.63155 7.15552 4.69685 4.62855 1.53936 0.999073 1.92941 2.26759 1.44085 1.68051 0.76254 3.76765 1.36099 3.65711 5.56989 5.30805 0.101306 
HES4 22.6053 25.056 3.00976 48.001 66.0226 105.112 34.5019 17.2145 21.148 33.0164 6.30052 8.45905 22.9496 20.8905 12.9844 25.1287 34.0436 29.06 7.65517 16.3688 29.699 1.14528 7.91984 27.3397 34.9517 30.3446 17.1592 18.125 11.0975 34.3181 35.3117 16.1072 32.8296 50.2756 30.323 17.4409 10.7428 22.3977 3.37188 1.90462 1.78576 53.5226 32.7878 22.4906 5.18228 37.4038 10.2793 8.20244 11.6359 3.43638 11.7755 33.2052 48.7702 22.3497 18.4825 9.31405 8.26087 12.7262 17.9918 10.4188 10.4794 5.42797 32.3648 10.2695 24.6342 39.6105 32.2383 1.53503 
ISG15 41.3513 39.4005 14.7441 57.8256 50.7493 57.6742 33.5193 51.0284 28.6225 30.9947 9.17117 9.06607 28.0677 34.982 33.1409 47.9869 25.3861 35.6169 34.4774 33.6926 32.1766 45.0405 776.493 37.9192 41.2489 50.3657 33.5897 31.2826 18.6588 40.4599 38.1728 12.4199 38.5797 39.7607 19.582 15.7335 23.3332 59.9107 32.1541 25.0808 34.827 35.8841 76.3398 13.1909 7.12279 43.9149 17.9624 5.99993 5.70627 6.31297 8.53982 32.3042 34.4951 11.3271 12.5669 38.4238 35.0712 42.407 65.9577 20.3966 19.6052 9.46959 49.0769 12.8553 40.1621 38.1567 29.9099 36.6204 
AGRN 18.7129 21.3807 4.80433 25.7958 26.9235 23.0238 28.08 19.9324 23.2759 19.2919 4.73566 8.26364 45.725 32.4306 15.7865 14.3299 14.9056 17.6779 15.4705 15.0685 29.0759 31.9817 56.5529 34.5871 40.764 21.192 20.5017 17.7237 14.788 16.344 23.043 28.4461 19.9905 30.849 9.26967 6.92624 50.2967 117.156 13.3146 10.1938 12.401 76.1394 53.458 46.8204 2.45491 24.0655 13.4846 23.733 18.1205 9.35017 18.9549 17.5521 37.1399 34.947 32.0992 18.9011 8.48363 18.1404 13.355 21.6513 18.5364 14.6818 16.9874 32.2854 99.5813 28.3964 29.0843 0.641283 
ENSG00000217801 0.212053 0.368455 0.192397 0.174103 0.25231 0.120256 0.996213 1.36672 3.17143 1.65059 0.280679 0.313193 3.68788 3.37687 0.7709 1.34527 1.30729 1.30564 0.315967 0.295541 1.08445 0.220587 9.34091 3.99694 0.991284 0.302147 1.16319 1.80469 2.62661 0.517531 0.233552 8.44517 0.216886 0.806776 0.214695 0.129807 2.21702 6.44828 0.539246 0.627666 0.560464 3.72658 1.60155 3.0059 0.07805 0.669567 0.225414 1.10842 2.05015 2.05766 1.4488 3.35189 1.57912 2.1088 2.28223 1.26423 5.95146 2.23261 1.83916 1.50747 1.75407 1.87345 0.366984 2.96579 2.35389 0.332966 3.97944 0.295561 
RNF223 0.04624 0.044073 0.044154 0.0360025 0.0367885 0.035839 2.66905 0.063031 0.068357 0.0521215 0.0609 0.0673785 0.079331 0.06554 0.061027 0.062865 0.057778 0.0541245 0.0457865 0.050841 0.438014 0.0508185 0.156867 11.7791 0.149913 0.057935 1.43923 3.19322 2.96814 0.293755 0.065887 33.4911 0.065977 0.053772 0.057508 0.0560895 0.389942 1.50378 0.049019 0.016621 0.018238 1.15764 0.809959 2.90541 0.048123 0.0413575 0.041183 0.098025 0.052191 0.018425 0.0391955 0.11029 0.653319 3.97512 5.53664 0.160954 0.132955 0.21384 0.050234 2.68775 4.68079 5.02817 0.0816435 0.30106 0.078632 0.056866 14.5125 0.021424 
C1orf159 9.57275 6.34295 5.21988 7.84439 8.37095 7.79896 10.1131 5.88696 7.00542 6.66558 12.2073 13.3584 9.95734 8.49968 6.88802 5.47614 7.67417 6.12156 6.50166 4.49513 11.2822 6.53193 8.0052 12.2562 13.8623 8.57577 9.94754 12.1444 15.8797 12.2343 8.09019 10.962 7.5275 13.8475 3.16755 1.89126 5.88363 11.1541 4.27695 4.6207 3.9544 14.2924 11.0664 9.33618 1.38255 14.7543 9.71318 2.71966 4.42916 5.00711 3.15036 9.00382 14.9106 13.743 13.261 8.40928 18.6481 11.169 12.4805 7.82391 10.3444 10.5177 9.77567 42.1318 14.3413 13.1552 12.6278 3.0305 
ENSG00000272141 0.101107 0.28243 0.073394 0.0652225 0.0682265 0.051703 7.09212 0.062366 0.060572 0.0665655 0.066611 0.0907385 0.0806895 0.058095 0.073217 0.073215 0.064966 0.0721925 0.0807575 0.075826 2.20743 0.0412825 0.279071 8.74719 1.14487 0.27078 51.1119 65.9733 153.875 7.5791 0.080697 31.9108 0.094684 5.23193 0.064721 0.065372 15.0335 41.9476 0.68816 0.344027 0.46333 95.2255 4.77148 36.3948 0.0552915 0.0826555 0.112617 16.3872 28.5228 51.3096 22.4176 59.0246 38.4199 11.1425 8.58161 39.3497 3.67173 35.0967 0.16081 48.6356 70.8392 84.2832 0.291182 1.74989 16.2401 0.157598 8.37127 0.037925 
TTLL10 1.40692 1.62098 0.073119 0.065801 0.143773 0.103079 0.308491 0.099544 0.0727 0.171419 0.114572 0.125539 0.0937585 0.071462 0.170991 0.257694 0.082658 0.095965 0.089435 0.079352 1.5768 0.0229425 0.031088 0.254646 0.416867 0.137421 0.328361 0.585639 0.6617 0.233839 0.136707 0.395168 0.138124 3.64583 0.0965 0.161537 0.284734 0.860981 0.063963 0.018164 0.012428 0.915975 1.94616 0.427126 0.181108 0.281269 0.068278 0.186115 0.252739 1.54115 0.233483 3.61674 0.608459 0.402355 0.387286 0.348421 0.196221 0.412293 0.140987 0.348086 0.415285 0.365308 0.113889 82.0968 0.476687 0.195978 0.283956 0.037157 
TNFRSF18 2.18355 2.36381 0.32434 0.861668 1.16101 0.29204 1.09142 1.00921 2.10154 0.257214 6.71737 5.2823 2.79702 3.06736 0.547844 0.44915 0.23462 0.316775 0.572774 0.356693 3.20923 0.140522 15.3004 4.66659 2.24103 0.54543 6.22004 8.57262 9.9708 1.04405 0.468296 5.4753 0.473118 1.25772 0.324745 0.205578 0.595171 0.703338 0.477384 0.273303 0.276782 10.746 6.66378 6.43407 0.247273 0.905257 0.393165 0.167042 0.149251 1.43102 0.247865 6.32733 3.74252 36.5223 30.5132 8.53436 16.3283 11.3023 12.4078 1.85939 2.86512 2.6389 0.468486 2.00353 1.41189 0.723991 4.40976 7.93132 
